[2024-12-23T05:38:17.229+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-23T05:38:17.253+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries manual__2024-12-23T05:38:15.253727+00:00 [queued]>
[2024-12-23T05:38:17.266+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries manual__2024-12-23T05:38:15.253727+00:00 [queued]>
[2024-12-23T05:38:17.268+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-23T05:38:17.290+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): fetch_and_insert_news_all_countries> on 2024-12-23 05:38:15.253727+00:00
[2024-12-23T05:38:17.299+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=50134) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-23T05:45:04.651+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-18 to 2023-03-19 for RS...
[2024-12-23T05:45:09.211+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:45:14.212+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-19 to 2023-03-20 for RS...
[2024-12-23T05:45:17.277+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:45:22.279+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-20 to 2023-03-21 for RS...
[2024-12-23T05:45:25.273+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:45:30.274+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-21 to 2023-03-22 for RS...
[2024-12-23T05:45:33.249+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:45:38.250+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-22 to 2023-03-23 for RS...
[2024-12-23T05:45:41.243+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:45:46.245+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-23 to 2023-03-24 for RS...
[2024-12-23T05:45:48.452+0000] {logging_mixin.py:190} INFO - No valid articles found for date: 2023-03-23 and country: RS.
[2024-12-23T05:45:53.453+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-24 to 2023-03-25 for RS...
